"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"AJ McCarron","CIN","18.6","11.3","133.3","0.7","0.4","1.5","3.5","0.0","0.0","7.7"
"Brett Hundley","GB","20.4","11.6","136.8","0.7","0.5","1.1","3.0","0.0","0.0","7.7"
"Case Keenum","MIN","17.6","11.0","120.1","0.7","0.3","1.3","3.8","0.0","0.0","7.7"
"Geno Smith","NYG","19.5","11.2","130.4","0.7","0.6","1.7","5.8","0.0","0.0","7.5"
"Jimmy Garoppolo","NE","16.7","10.1","119.5","0.7","0.1","0.9","1.5","0.0","0.0","7.4"
"Ryan Mallett","BAL","21.4","11.7","131.4","0.6","0.7","1.1","3.3","0.0","0.0","6.8"
"Kellen Clemens","LAC","18.0","10.7","121.7","0.7","0.7","1.5","4.0","0.0","0.0","6.7"
"Trevone Boykin","SEA","17.7","10.6","124.6","0.4","0.3","1.8","6.0","0.0","0.0","6.7"
"Colt McCoy","WAS","15.3","9.2","106.3","0.6","0.2","1.2","2.7","0.0","0.0","6.6"
"Jake Rudock","DET","18.1","10.9","123.8","0.7","0.6","1.1","1.4","0.0","0.0","6.5"
"Connor Cook","OAK","19.0","10.9","123.1","0.5","0.5","1.7","5.4","0.0","0.0","6.4"
"Ryan Fitzpatrick","TB","16.4","9.8","112.8","0.3","0.4","1.3","5.2","0.0","0.0","5.6"
"T.J. Yates","BUF","16.8","10.5","114.5","0.4","0.4","0.9","2.0","0.0","0.0","5.6"
"Cardale Jones","LAC","17.4","10.3","109.2","0.5","0.7","2.2","4.4","0.0","0.0","5.4"
"Kellen Moore","DAL","15.9","9.7","112.9","0.3","0.2","0.9","1.8","0.0","0.0","5.4"
"Matt Schaub","ATL","12.3","7.6","83.5","0.4","0.4","0.9","2.5","0.0","0.0","4.6"
"Chase Daniel","NO","10.5","6.4","76.3","0.2","0.3","1.0","1.6","0.0","0.0","3.5"
"Mark Sanchez","CHI","0.5","0.5","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Jacoby Brissett","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Johnson","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Tanney","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Fales","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt McGloin","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt Simms","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
